# 1.6S (Up to date)
# 748 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Acceleration to the East (m/s²),Acceleration to the North (m/s²),X body acceleration (m/s²),Y body acceleration (m/s²),Z body acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral direction (°),Lateral velocity (m/s),Roll rate (Z) (°/s),Pitch rate (Y) (°/s),Yaw rate (X) (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
15.829,913.15,-28.263,28.33,-9.004,-2.652,-0.001,2.959,0.002,8.908,66.758,0.026,89.978,1.946,-1.75e-5,18.681,0.003,-88.036,89.932
15.843,912.752,-28.39,28.454,-9.011,-2.501,-0.001,2.853,0.002,8.906,66.785,0.026,89.978,1.91,-1.751e-5,22.558,0.004,-87.746,89.936
15.858,912.326,-28.525,28.586,-9.019,-2.294,-8.92e-4,2.704,0.001,8.904,66.813,0.026,89.978,1.874,-1.749e-5,26.39,0.004,-87.378,89.94
15.875,911.854,-28.673,28.732,-9.026,-2.024,-7.585e-4,2.507,0.001,8.903,66.844,0.026,89.978,1.838,-1.751e-5,30.135,0.004,-86.912,89.944
15.894,911.31,-28.844,28.901,-9.028,-1.69,-5.95e-4,2.269,0.001,8.9,66.878,0.026,89.978,1.803,-1.757e-5,33.769,0.005,-86.306,89.948
15.917,910.637,-29.054,29.108,-9.022,-1.302,-3.862e-4,2.009,0.001,8.891,66.92,0.026,89.978,1.768,-1.745e-5,37.221,0.006,-85.478,89.952
15.949,909.708,-29.341,29.392,-8.992,-0.769,-9.736e-5,1.668,9.207e-4,8.869,66.976,0.026,89.978,1.735,-1.743e-5,40.209,0.012,-84.242,89.956
15.996,908.298,-29.768,29.817,-8.887,0.035,3.229e-4,1.157,6.691e-4,8.811,67.058,0.026,89.977,1.718,-1.775e-5,-40.804,0.057,-82.291,89.96
16.046,906.799,-30.207,30.257,-8.686,0.939,7.503e-4,0.532,3.253e-4,8.72,67.144,0.027,89.977,1.742,-1.805e-5,-36.352,0.008,-80.341,89.962
16.075,905.938,-30.452,30.504,-8.56,1.355,9.663e-4,0.247,1.917e-4,8.663,67.194,0.027,89.977,1.775,-1.798e-5,-31.673,0.005,-79.372,89.963
16.096,905.284,-30.634,30.687,-8.468,1.624,0.001,0.061,1.095e-4,8.622,67.232,0.027,89.977,1.807,-1.796e-5,-27.355,0.005,-78.739,89.964
16.115,904.715,-30.79,30.845,-8.384,1.861,0.001,-0.117,8.708e-6,8.587,67.266,0.027,89.977,1.839,-1.799e-5,-23.121,0.004,-78.271,89.964
16.131,904.204,-30.929,30.985,-8.314,2.05,0.001,-0.265,-8.25e-5,8.559,67.297,0.027,89.977,1.872,-1.799e-5,-18.949,0.004,-77.922,89.965
16.146,903.729,-31.055,31.114,-8.258,2.194,0.001,-0.379,-1.572e-4,8.536,67.326,0.027,89.977,1.904,-1.799e-5,-14.828,0.003,-77.663,89.965
16.161,903.28,-31.174,31.235,-8.211,2.313,0.001,-0.477,-2.295e-4,8.517,67.353,0.027,89.977,1.937,-1.803e-5,-10.735,0.003,-77.478,89.965
16.175,902.848,-31.288,31.35,-8.175,2.401,0.001,-0.553,-2.932e-4,8.502,67.38,0.027,89.977,1.969,-1.803e-5,-6.666,0.003,-77.358,89.966
16.188,902.428,-31.397,31.461,-8.15,2.458,0.001,-0.605,-3.443e-4,8.491,67.407,0.027,89.977,2.002,-1.807e-5,-2.621,0.003,-77.295,89.966
16.201,902.016,-31.504,31.569,-8.136,2.481,0.001,-0.63,-3.787e-4,8.483,67.433,0.027,89.977,2.034,-1.801e-5,1.403,0.003,-77.287,89.966
16.214,901.606,-31.609,31.677,-8.144,2.435,0.001,-0.589,-3.591e-4,8.48,67.46,0.027,89.977,2.066,-1.799e-5,5.372,0.003,-77.332,89.966
16.227,901.187,-31.717,31.787,-8.161,2.36,0.001,-0.527,-3.279e-4,8.479,67.488,0.027,89.977,2.098,-1.799e-5,9.318,0.003,-77.429,89.966
16.241,900.755,-31.828,31.9,-8.188,2.256,0.001,-0.442,-2.835e-4,8.482,67.516,0.027,89.977,2.13,-1.802e-5,13.235,0.003,-77.582,89.966
16.255,900.301,-31.945,32.018,-8.224,2.126,0.001,-0.34,-2.342e-4,8.487,67.547,0.027,89.977,2.161,-1.803e-5,17.122,0.003,-77.799,89.966
16.27,899.819,-32.07,32.144,-8.267,1.972,0.001,-0.223,-1.843e-4,8.496,67.58,0.027,89.977,2.192,-1.799e-5,20.982,0.003,-78.086,89.967
16.287,899.296,-32.204,32.281,-8.32,1.775,9.492e-4,-0.075,-1.174e-4,8.507,67.616,0.027,89.977,2.222,-1.8e-5,24.787,0.004,-78.459,89.967
16.305,898.713,-32.355,32.433,-8.386,1.524,8.039e-4,0.113,-3.162e-5,8.522,67.656,0.027,89.977,2.252,-1.801e-5,28.511,0.004,-78.941,89.967
16.326,898.031,-32.532,32.612,-8.465,1.195,6.182e-4,0.356,8.184e-5,8.541,67.704,0.027,89.977,2.281,-1.811e-5,32.089,0.005,-79.58,89.967
16.352,897.157,-32.76,32.841,-8.559,0.746,3.666e-4,0.679,2.325e-4,8.564,67.765,0.027,89.977,2.307,-1.823e-5,35.345,0.008,-80.486,89.967
16.393,895.834,-33.106,33.188,-8.654,0.149,-2.57e-5,1.062,3.518e-4,8.59,67.858,0.027,89.977,2.325,-1.85e-5,37.634,0.033,-81.961,89.966
16.443,894.168,-33.541,33.62,-8.73,-0.778,-5.062e-4,1.713,6.854e-4,8.596,67.974,0.028,89.977,2.31,-1.842e-5,-35.886,0.013,-83.822,89.966
16.487,892.686,-33.925,34,-8.729,-1.441,-8.889e-4,2.154,8.678e-4,8.581,68.075,0.028,89.977,2.26,-1.83e-5,-30.163,0.007,-85.285,89.964
16.511,891.86,-34.136,34.209,-8.714,-1.787,-0.001,2.396,9.965e-4,8.567,68.129,0.028,89.977,2.221,-1.843e-5,-25.75,0.006,-85.965,89.962
16.531,891.181,-34.309,34.379,-8.697,-2.078,-0.001,2.615,0.001,8.551,68.173,0.028,89.977,2.183,-1.848e-5,-21.438,0.005,-86.434,89.961
16.548,890.589,-34.459,34.525,-8.68,-2.288,-0.001,2.774,0.001,8.538,68.21,0.028,89.977,2.145,-1.843e-5,-17.243,0.005,-86.768,89.959
16.564,890.045,-34.595,34.659,-8.664,-2.371,-0.001,2.821,0.001,8.528,68.244,0.028,89.977,2.108,-1.852e-5,-13.167,0.005,-87.007,89.957
16.579,889.517,-34.727,34.789,-8.649,-2.403,-0.001,2.826,0.001,8.52,68.275,0.028,89.977,2.072,-1.858e-5,-9.141,0.004,-87.177,89.955
16.594,888.992,-34.858,34.917,-8.636,-2.395,-0.001,2.801,0.001,8.513,68.306,0.028,89.976,2.036,-1.856e-5,-5.145,0.004,-87.285,89.953
16.609,888.462,-34.989,35.046,-8.625,-2.384,-0.001,2.783,0.001,8.505,68.337,0.028,89.976,1.999,-1.85e-5,-1.163,0.004,-87.333,89.951
16.624,887.928,-35.12,35.175,-8.617,-2.357,-0.001,2.757,0.001,8.497,68.367,0.028,89.976,1.963,-1.841e-5,2.82,0.004,-87.32,89.95
16.64,887.386,-35.253,35.305,-8.61,-2.29,-0.001,2.701,0.001,8.49,68.397,0.028,89.976,1.927,-1.844e-5,6.766,0.004,-87.246,89.949
16.656,886.825,-35.389,35.44,-8.604,-2.187,-9.532e-4,2.619,0.001,8.482,68.428,0.028,89.976,1.892,-1.854e-5,10.671,0.004,-87.107,89.949
16.672,886.232,-35.533,35.582,-8.599,-2.051,-8.263e-4,2.513,0.001,8.475,68.459,0.028,89.976,1.856,-1.852e-5,14.539,0.005,-86.897,89.949
16.69,885.593,-35.687,35.734,-8.592,-1.861,-6.747e-4,2.367,0.001,8.467,68.492,0.028,89.976,1.821,-1.855e-5,18.341,0.005,-86.601,89.95
16.71,884.878,-35.859,35.904,-8.582,-1.571,-4.873e-4,2.136,0.001,8.458,68.528,0.028,89.976,1.787,-1.838e-5,22.025,0.006,-86.196,89.951
16.735,884.007,-36.067,36.109,-8.559,-1.138,-2.472e-4,1.788,0.001,8.447,68.571,0.028,89.976,1.754,-1.844e-5,25.407,0.008,-85.619,89.953
16.77,882.729,-36.368,36.409,-8.503,-0.5,9.228e-5,1.288,8.025e-4,8.42,68.632,0.028,89.976,1.725,-1.84e-5,28.019,0.019,-84.669,89.956
16.82,880.9,-36.79,36.83,-8.374,0.398,5.041e-4,0.586,4.079e-4,8.363,68.718,0.029,89.976,1.722,-1.83e-5,-27.143,0.013,-83.267,89.959
16.87,879.05,-37.204,37.246,-8.203,1.207,8.153e-4,-0.06,1.359e-6,8.291,68.805,0.029,89.976,1.764,-1.815e-5,-20.942,0.006,-82.046,89.962
16.894,878.154,-37.4,37.444,-8.131,1.469,9.124e-4,-0.264,-1.253e-4,8.258,68.848,0.029,89.976,1.796,-1.846e-5,-16.57,0.004,-81.594,89.964
16.914,877.39,-37.566,37.61,-8.075,1.655,9.705e-4,-0.414,-2.277e-4,8.233,68.885,0.029,89.976,1.828,-1.841e-5,-12.354,0.003,-81.298,89.964
16.933,876.696,-37.714,37.76,-8.035,1.777,9.948e-4,-0.514,-3.077e-4,8.213,68.919,0.029,89.976,1.86,-1.857e-5,-8.218,0.004,-81.108,89.965
16.95,876.041,-37.853,37.9,-8.008,1.842,9.908e-4,-0.567,-3.626e-4,8.197,68.951,0.029,89.976,1.891,-1.851e-5,-4.148,0.003,-81.001,89.965
16.967,875.404,-37.988,38.036,-7.99,1.876,9.652e-4,-0.598,-4.125e-4,8.185,68.983,0.029,89.976,1.922,-1.852e-5,-0.107,0.003,-80.965,89.966
16.983,874.775,-38.12,38.17,-7.983,1.86,9.208e-4,-0.588,-4.369e-4,8.176,69.015,0.029,89.976,1.953,-1.863e-5,3.887,0.003,-80.997,89.966
17,874.139,-38.252,38.304,-7.989,1.797,8.527e-4,-0.538,-4.405e-4,8.17,69.048,0.029,89.976,1.984,-1.857e-5,7.831,0.003,-81.094,89.966
17.017,873.48,-38.39,38.443,-8.003,1.693,7.61e-4,-0.457,-4.309e-4,8.167,69.083,0.029,89.976,2.014,-1.859e-5,11.729,0.004,-81.263,89.966
17.035,872.779,-38.536,38.59,-8.029,1.532,6.425e-4,-0.33,-3.965e-4,8.167,69.119,0.029,89.976,2.044,-1.847e-5,15.558,0.005,-81.512,89.967
17.055,872.005,-38.697,38.753,-8.066,1.299,4.904e-4,-0.144,-3.285e-4,8.169,69.161,0.029,89.976,2.072,-1.862e-5,19.283,0.006,-81.862,89.967
17.079,871.097,-38.887,38.943,-8.117,0.958,2.898e-4,0.13,-2.086e-4,8.173,69.21,0.029,89.976,2.099,-1.868e-5,22.805,0.008,-82.357,89.967
17.11,869.886,-39.14,39.197,-8.185,0.428,8.538e-6,0.556,3.652e-6,8.177,69.275,0.029,89.976,2.12,-1.894e-5,25.831,0.015,-83.116,89.967
17.156,868.056,-39.523,39.579,-8.255,-0.438,-3.808e-4,1.249,4.072e-4,8.172,69.374,0.03,89.976,2.12,-1.889e-5,-26.313,0.027,-84.349,89.965
17.206,866.069,-39.936,39.99,-8.269,-1.241,-7.283e-4,1.876,7.757e-4,8.148,69.479,0.03,89.976,2.078,-1.755e-5,-21.842,0.007,-85.572,89.963
17.236,864.884,-40.18,40.232,-8.259,-1.693,-8.65e-4,2.243,0.001,8.127,69.54,0.03,89.975,2.034,-1.711e-5,-17.061,0.004,-86.151,89.96
17.258,864.018,-40.358,40.407,-8.244,-1.901,-9.144e-4,2.404,0.001,8.111,69.583,0.03,89.975,1.995,-1.709e-5,-12.767,0.004,-86.472,89.958
17.277,863.243,-40.516,40.563,-8.227,-1.948,-9.13e-4,2.422,0.001,8.1,69.621,0.03,89.975,1.958,-1.7e-5,-8.709,0.005,-86.678,89.956
17.295,862.483,-40.669,40.715,-8.21,-1.933,-8.793e-4,2.388,0.001,8.09,69.657,0.03,89.975,1.921,-1.705e-5,-4.717,0.004,-86.804,89.954
17.314,861.713,-40.824,40.868,-8.196,-1.937,-8.149e-4,2.383,0.001,8.078,69.693,0.03,89.975,1.885,-1.72e-5,-0.722,0.005,-86.855,89.952
17.333,860.942,-40.979,41.021,-8.184,-1.903,-7.151e-4,2.352,0.001,8.066,69.729,0.03,89.975,1.849,-1.718e-5,3.251,0.005,-86.831,89.95
17.352,860.152,-41.136,41.176,-8.17,-1.8,-5.867e-4,2.263,0.001,8.055,69.764,0.03,89.975,1.813,-1.702e-5,7.148,0.005,-86.731,89.949
17.373,859.309,-41.303,41.341,-8.154,-1.582,-4.363e-4,2.071,0.001,8.044,69.8,0.03,89.975,1.778,-1.7e-5,10.896,0.005,-86.545,89.949
17.396,858.334,-41.495,41.532,-8.131,-1.267,-2.439e-4,1.797,0.001,8.031,69.842,0.03,89.975,1.745,-1.682e-5,14.465,0.006,-86.245,89.95
17.427,857.072,-41.741,41.776,-8.09,-0.751,2.797e-5,1.348,9.037e-4,8.012,69.894,0.03,89.975,1.714,-1.665e-5,17.547,0.012,-85.755,89.952
17.472,855.166,-42.107,42.141,-8.001,0.042,4.534e-4,0.667,5.638e-4,7.973,69.972,0.03,89.975,1.698,-1.664e-5,-18.477,0.032,-84.92,89.954
17.522,853.051,-42.504,42.539,-7.88,0.784,9.028e-4,0.034,2.979e-4,7.918,70.057,0.03,89.975,1.72,-1.724e-5,-14.784,0.005,-84.07,89.955
17.557,851.571,-42.776,42.812,-7.804,1.128,0.001,-0.256,1.912e-4,7.881,70.117,0.031,89.975,1.754,-1.765e-5,-10.021,0.003,-83.636,89.956
17.583,850.468,-42.976,43.013,-7.766,1.243,0.001,-0.346,1.66e-4,7.857,70.163,0.031,89.975,1.784,-1.759e-5,-5.825,0.003,-83.431,89.956
17.606,849.447,-43.16,43.198,-7.745,1.255,0.001,-0.348,1.577e-4,7.838,70.205,0.031,89.975,1.814,-1.76e-5,-1.782,0.003,-83.341,89.957
17.63,848.432,-43.342,43.381,-7.74,1.167,0.001,-0.262,1.8e-4,7.823,70.248,0.031,89.975,1.843,-1.742e-5,2.123,0.003,-83.345,89.958
17.655,847.351,-43.534,43.575,-7.745,1.014,9.713e-4,-0.123,1.979e-4,7.811,70.295,0.031,89.975,1.87,-1.783e-5,5.895,0.003,-83.446,89.958
17.683,846.126,-43.752,43.793,-7.751,0.858,7.353e-4,0.002,1.261e-4,7.798,70.347,0.031,89.975,1.896,-1.776e-5,9.653,0.004,-83.666,89.959
17.715,844.702,-44.004,44.045,-7.772,0.541,3.754e-4,0.269,9.386e-5,7.786,70.409,0.031,89.975,1.92,-1.731e-5,13.098,0.007,-84.038,89.961
17.763,842.613,-44.372,44.414,-7.807,-0.069,-1.742e-4,0.787,1.607e-4,7.768,70.501,0.031,89.975,1.931,-1.742e-5,15.338,0.04,-84.724,89.963
17.813,840.384,-44.763,44.804,-7.821,-0.698,-6.466e-4,1.313,3.037e-4,7.741,70.597,0.031,89.975,1.912,-1.693e-5,-13.95,0.008,-85.472,89.964
17.863,838.136,-45.154,45.192,-7.808,-1.189,-9.409e-4,1.723,4.8e-4,7.708,70.691,0.031,89.975,1.863,-1.718e-5,-8.987,0.003,-86.057,89.964
17.895,836.669,-45.406,45.443,-7.785,-1.243,-9.843e-4,1.746,4.731e-4,7.688,70.751,0.032,89.974,1.823,-1.761e-5,-4.844,0.004,-86.281,89.963
17.926,835.266,-45.646,45.681,-7.764,-1.309,-8.895e-4,1.799,6.154e-4,7.666,70.806,0.032,89.974,1.784,-1.779e-5,-0.726,0.005,-86.368,89.961
17.955,833.934,-45.872,45.905,-7.742,-1.264,-6.886e-4,1.757,7.523e-4,7.645,70.858,0.032,89.974,1.746,-1.781e-5,3.242,0.005,-86.331,89.959
17.985,832.538,-46.106,46.138,-7.71,-1.027,-3.93e-4,1.539,7.898e-4,7.624,70.91,0.032,89.974,1.711,-1.813e-5,6.842,0.007,-86.175,89.956
18.024,830.745,-46.404,46.435,-7.663,-0.65,1.574e-5,1.204,8.057e-4,7.596,70.976,0.032,89.974,1.678,-1.803e-5,9.955,0.01,-85.844,89.954
18.074,828.415,-46.786,46.815,-7.585,-0.065,4.082e-4,0.686,6.213e-4,7.554,71.059,0.032,89.974,1.659,-1.781e-5,-11.139,0.039,-85.302,89.955
18.124,826.066,-47.162,47.192,-7.49,0.539,5.747e-4,0.143,2.152e-4,7.508,71.142,0.032,89.974,1.671,-1.769e-5,-8.573,0.006,-84.795,89.958
18.17,823.891,-47.505,47.535,-7.41,0.936,5.629e-4,-0.223,-1.639e-4,7.466,71.22,0.032,89.974,1.706,-1.767e-5,-3.407,0.004,-84.511,89.96
18.2,822.47,-47.725,47.757,-7.376,1.05,4.353e-4,-0.335,-3.88e-4,7.443,71.271,0.032,89.974,1.736,-1.768e-5,0.832,0.005,-84.472,89.961
18.227,821.173,-47.925,47.958,-7.355,1.081,2.876e-4,-0.377,-5.594e-4,7.424,71.319,0.032,89.974,1.765,-1.765e-5,4.907,0.005,-84.55,89.962
18.253,819.897,-48.12,48.154,-7.351,0.98,1.411e-4,-0.301,-6.084e-4,7.41,71.366,0.033,89.974,1.793,-1.773e-5,8.782,0.004,-84.732,89.963
18.282,818.497,-48.334,48.368,-7.369,0.645,7.374e-6,-0.005,-4.219e-4,7.397,71.418,0.033,89.974,1.817,-1.73e-5,12.218,0.004,-85.04,89.962
18.324,816.495,-48.639,48.673,-7.404,-0.047,-1.662e-4,0.614,6.189e-5,7.378,71.494,0.033,89.974,1.83,-1.654e-5,14.633,0.023,-85.606,89.96
18.374,814.054,-49.01,49.043,-7.416,-0.844,-3.631e-4,1.321,6.153e-4,7.346,71.585,0.033,89.974,1.806,-1.648e-5,-12.589,0.003,-86.306,89.955
18.422,811.683,-49.367,49.398,-7.4,-1.431,-5.234e-4,1.843,0.001,7.309,71.671,0.033,89.974,1.752,-1.52e-5,-7.066,-1.814e-4,-86.792,89.952
18.448,810.377,-49.562,49.591,-7.387,-1.688,-5.761e-4,2.082,0.001,7.286,71.716,0.033,89.974,1.711,-1.455e-5,-2.643,-0.001,-86.922,89.951
18.47,809.281,-49.725,49.753,-7.366,-1.576,-5.769e-4,1.967,0.001,7.272,71.754,0.033,89.974,1.674,-1.463e-5,1.248,-7.406e-4,-86.937,89.951
18.494,808.095,-49.9,49.927,-7.341,-1.335,-5.5e-4,1.735,8.904e-4,7.257,71.793,0.033,89.974,1.639,-1.451e-5,4.935,-0.002,-86.862,89.952
18.523,806.665,-50.109,50.135,-7.306,-0.939,-4.672e-4,1.362,5.871e-4,7.239,71.84,0.033,89.973,1.607,-1.434e-5,8.285,-0.002,-86.67,89.954
18.566,804.509,-50.421,50.446,-7.241,-0.287,-2.709e-4,0.759,1.524e-4,7.206,71.908,0.033,89.973,1.581,-1.409e-5,10.5,-0.017,-86.255,89.957
18.616,801.979,-50.781,50.806,-7.16,0.285,-1.03e-5,0.247,-1.327e-4,7.161,71.987,0.033,89.973,1.583,-1.46e-5,-9.239,-0.003,-85.748,89.96
18.666,799.431,-51.138,51.163,-7.09,0.604,1.143e-4,-0.03,-2.986e-4,7.116,72.067,0.034,89.973,1.605,-1.412e-5,-5.477,2.584e-4,-85.372,89.962
18.708,797.277,-51.434,51.46,-7.039,0.794,1.555e-4,-0.206,-4.383e-4,7.081,72.135,0.034,89.973,1.634,-1.475e-5,-0.925,-0.001,-85.234,89.963
18.742,795.529,-51.672,51.699,-7.013,0.812,2.151e-4,-0.231,-4.073e-4,7.056,72.19,0.034,89.973,1.662,-1.42e-5,3.172,-0.001,-85.272,89.962
18.775,793.804,-51.906,51.933,-7.01,0.596,2.131e-4,-0.036,-2.087e-4,7.035,72.246,0.034,89.973,1.686,-1.468e-5,6.812,-8.544e-4,-85.441,89.961
18.818,791.583,-52.205,52.233,-7.018,0.151,2.139e-4,0.364,2.027e-4,7.01,72.319,0.034,89.973,1.702,-1.481e-5,9.673,-0.008,-85.801,89.957
18.868,788.964,-52.556,52.584,-7.025,-0.497,2.643e-4,0.949,8.488e-4,6.978,72.404,0.034,89.973,1.695,-1.431e-5,-9.856,-0.007,-86.305,89.951
18.918,786.327,-52.907,52.933,-7.011,-1.039,2.948e-4,1.439,0.001,6.94,72.487,0.034,89.973,1.653,-1.672e-5,-5.887,-0.002,-86.711,89.945
18.956,784.28,-53.177,53.202,-6.982,-1.078,3.236e-4,1.459,0.001,6.912,72.55,0.034,89.973,1.612,-1.642e-5,-1.762,-4.867e-4,-86.859,89.942
18.993,782.315,-53.434,53.457,-6.953,-1.067,2.651e-4,1.448,0.001,6.884,72.609,0.034,89.973,1.572,-1.552e-5,2.279,-0.001,-86.85,89.943
19.031,780.311,-53.694,53.716,-6.915,-0.834,1.474e-4,1.232,0.001,6.855,72.667,0.035,89.973,1.536,-1.57e-5,5.819,-0.001,-86.695,89.947
19.081,777.617,-54.038,54.059,-6.841,-0.172,-6.598e-5,0.609,2.137e-4,6.816,72.743,0.035,89.973,1.509,-1.66e-5,-7.984,-0.016,-86.333,89.955
19.131,774.907,-54.378,54.399,-6.765,0.337,-1.584e-4,0.139,-3.462e-4,6.772,72.819,0.035,89.973,1.516,-1.713e-5,-5.984,0.001,-85.972,89.96
19.181,772.18,-54.715,54.736,-6.708,0.546,-2.024e-4,-0.049,-5.729e-4,6.73,72.895,0.035,89.972,1.538,-1.959e-5,-2.096,-3.518e-4,-85.765,89.963
19.225,769.729,-55.014,55.036,-6.681,0.443,-2.174e-4,0.052,-4.792e-4,6.696,72.964,0.035,89.972,1.562,-1.981e-5,1.836,0.002,-85.761,89.964
19.275,766.97,-55.347,55.37,-6.67,0.099,-2.919e-4,0.375,-2.131e-4,6.66,73.043,0.035,89.972,1.575,-2.139e-5,4.666,0.006,-85.932,89.963
19.325,764.194,-55.681,55.703,-6.659,-0.301,-3.955e-4,0.742,7.279e-5,6.625,73.122,0.035,89.972,1.571,-2.133e-5,-5.307,0.019,-86.191,89.962
19.375,761.402,-56.013,56.034,-6.639,-0.616,-2.954e-4,1.029,4.63e-4,6.588,73.2,0.036,89.972,1.546,-2.114e-5,-3.618,0.003,-86.422,89.959
19.425,758.593,-56.344,56.365,-6.607,-0.751,-2.503e-4,1.149,6.317e-4,6.549,73.276,0.036,89.972,1.512,-2.08e-5,-0.679,-4.541e-4,-86.532,89.958
19.475,755.767,-56.674,56.693,-6.567,-0.743,-2.547e-4,1.145,6.274e-4,6.509,73.351,0.036,89.972,1.475,-1.924e-5,2.595,-3.81e-4,-86.484,89.959
19.525,752.925,-57.001,57.019,-6.512,-0.44,-1.005e-4,0.861,4.845e-4,6.469,73.424,0.036,89.972,1.442,-2.03e-5,5.219,-1.926e-4,-86.281,89.96
19.575,750.067,-57.325,57.343,-6.446,-0.049,7.287e-5,0.497,2.76e-4,6.427,73.495,0.036,89.972,1.432,-2.018e-5,-5.148,3.538e-4,-86.012,89.961
19.625,747.193,-57.645,57.663,-6.383,0.262,2.551e-4,0.207,1.521e-4,6.385,73.567,0.036,89.972,1.436,-1.864e-5,-3.282,3.359e-4,-85.794,89.962
19.675,744.303,-57.963,57.981,-6.324,0.504,2.133e-4,-0.031,-1.271e-4,6.345,73.639,0.036,89.972,1.455,-2.033e-5,0.443,0.001,-85.717,89.963
19.72,741.671,-58.249,58.268,-6.298,0.416,-1.631e-5,0.043,-2.628e-4,6.312,73.706,0.036,89.972,1.478,-1.949e-5,4.435,0.005,-85.83,89.964
19.77,738.751,-58.564,58.582,-6.289,0.055,-3.367e-4,0.37,-2.226e-4,6.278,73.78,0.037,89.972,1.489,-2.062e-5,7.119,0.011,-86.127,89.964
19.82,735.815,-58.878,58.896,-6.282,-0.424,-5.425e-4,0.807,3.709e-5,6.244,73.854,0.037,89.972,1.482,-2.011e-5,-7.539,0.015,-86.506,89.963
19.87,732.863,-59.192,59.209,-6.265,-0.881,-4.656e-4,1.228,5.446e-4,6.207,73.928,0.037,89.971,1.447,-2.102e-5,-4.568,0.005,-86.819,89.959
19.92,729.941,-59.499,59.516,-6.227,-0.893,-3.571e-4,1.224,6.468e-4,6.17,73.998,0.037,89.971,1.402,-2.141e-5,-0.336,-4.802e-4,-86.94,89.957
19.968,727.07,-59.798,59.813,-6.181,-0.715,-2.595e-4,1.052,5.657e-4,6.133,74.064,0.037,89.971,1.365,-2.036e-5,3.013,-1.41e-4,-86.871,89.957
20.018,724.072,-60.106,60.12,-6.127,-0.409,-1.247e-5,0.766,5.085e-4,6.092,74.132,0.037,89.971,1.334,-1.982e-5,5.453,0.006,-86.652,89.958
20.068,721.059,-60.41,60.425,-6.054,0.143,3.116e-4,0.24,2.765e-4,6.051,74.198,0.037,89.971,1.328,-1.939e-5,-4.874,0.002,-86.38,89.958
20.118,718.031,-60.711,60.726,-5.988,0.519,5.612e-4,-0.122,1.423e-4,6.009,74.265,0.037,89.971,1.345,-2.004e-5,-1.489,-0.001,-86.212,89.958
20.163,715.304,-60.979,60.994,-5.955,0.505,5.399e-4,-0.114,1.314e-4,5.975,74.326,0.038,89.971,1.37,-1.677e-5,2.798,-0.001,-86.242,89.957
20.208,712.51,-61.251,61.266,-5.953,0.015,2.598e-4,0.355,3.481e-4,5.943,74.389,0.038,89.971,1.382,-1.633e-5,5.419,-0.002,-86.44,89.957
20.258,709.44,-61.548,61.563,-5.937,-0.343,-2.337e-4,0.682,2.207e-4,5.908,74.458,0.038,89.971,1.374,-1.641e-5,-5.74,7.623e-4,-86.728,89.959
20.308,706.355,-61.844,61.859,-5.913,-0.651,-6.963e-4,0.962,7.667e-5,5.871,74.526,0.038,89.971,1.349,-1.617e-5,-3.961,0.002,-86.978,89.961
20.358,703.255,-62.139,62.153,-5.88,-0.777,-6.533e-4,1.073,2.365e-4,5.833,74.592,0.038,89.971,1.311,-1.747e-5,-0.715,0.003,-87.097,89.96
20.408,700.141,-62.432,62.445,-5.83,-0.536,-2.996e-4,0.834,3.3e-4,5.795,74.657,0.038,89.971,1.278,-1.614e-5,2.031,0.003,-87.059,89.957
20.458,697.012,-62.722,62.735,-5.779,-0.274,1.301e-4,0.585,4.835e-4,5.756,74.72,0.038,89.971,1.257,-1.673e-5,3.331,0.015,-86.918,89.955
20.508,693.869,-63.01,63.022,-5.718,0.12,5.78e-4,0.203,5.181e-4,5.716,74.783,0.038,89.971,1.254,-1.675e-5,-2.405,5.373e-4,-86.765,89.952
20.558,690.711,-63.294,63.307,-5.676,0.164,5.559e-4,0.163,4.562e-4,5.676,74.846,0.039,89.97,1.263,-1.81e-5,-0.083,0.004,-86.702,89.953
20.608,687.54,-63.578,63.59,-5.65,-0.055,2.466e-4,0.376,3.828e-4,5.638,74.909,0.039,89.97,1.265,-1.775e-5,1.511,2.597e-5,-86.743,89.956
20.658,684.354,-63.859,63.872,-5.613,-0.061,-1.59e-4,0.37,-5.525e-6,5.601,74.972,0.039,89.97,1.262,-1.791e-5,2.516,0.008,-86.844,89.958
20.708,681.154,-64.139,64.151,-5.58,-0.14,-5.7e-4,0.433,-3.275e-4,5.565,75.035,0.039,89.97,1.258,-1.837e-5,3.294,0.027,-86.991,89.961
20.758,677.94,-64.417,64.429,-5.554,-0.392,-7.647e-4,0.668,-2.667e-4,5.528,75.098,0.039,89.97,1.244,-1.848e-5,-2.911,0.009,-87.153,89.962
20.808,674.712,-64.694,64.706,-5.52,-0.494,-7.518e-4,0.757,-1.576e-4,5.49,75.16,0.039,89.97,1.221,-1.904e-5,-1.354,0.005,-87.261,89.961
20.858,671.47,-64.969,64.98,-5.48,-0.437,-2.553e-4,0.695,2.55e-4,5.453,75.22,0.039,89.97,1.199,-1.903e-5,0.08,0.007,-87.292,89.955
